What does Glenn say about the reported black market deal?	'Given the staggering amount of nuclear materials we have exported, it could only be a matter of time before some of this deadly contraband proves to be of U.S.	1
What is not included in the U.S. exports of nuclear material?	It does not include figures on U.S. nuclear exports but says 71 export licenses for nuclear materials were granted in 1993.	1
How much plutonium is needed to make a nuclear weapon?	A nuclear weapon can be made with as little as 6 kilograms (13.2 pounds) of plutonium, U.S. officials have said.	1
What does the U.S. government expect from the Japanese regarding the issue?	'We're looking at those kinds of discrepancies and we are confident that the material is being safeguarded as appropriate by the IAEA (International Atomic Energy Agency,)' said Notra Trulock, chief of intelligence at the U.S. Department of Energy, in an interview Tuesday.	1
What is the recent history of the peace talks?	The scheduled resumption of talks in the town of Sleptsovsk came two days after agreement on a limited cease-fire, calling for both sides to stop using heavy artillery Tuesday.	1
What else was agreed upon by the representatives of the Russian Federation and Ingushetia?	They also agreed in principle to work out a mechanism for exchanging prisoners of war and the dead.	1
What is the stance of Russia's counterpart to the cease-fire in Ingushetia?	Russian Prime Minister Viktor Chernomyrdin said Tuesday that Moscow is also willing to talk to individual field commanders, the Interfax news agency reported.	1
Where will the peace talks be held?	The talks Wednesday were to be held in Sleptsovsk with the Russian side represented by Col. Gen. Anatoly Kulikov, commander of Russian troops in Chechnya.	1
What is the objective of these conditions?	The aim is to drive a wedge between Milosevic and the Serbs in Bosnia who have rejected past peace proposals by isolating them from their patrons and arms suppliers in Belgrade.	1
What has been the impact of sanctions on Bosnia?	The sanctions, imposed by the U.N. Security Council, have devastated Serbia's economy.	1
What else will the president be asked to do?	Milosevic would be required to recognize three other former Yugoslav republics, Croatia, Slovenia and Macedonia, thereby acknowledging the breakup of what once was Yugoslavia, and permit stricter policing of his border with Bosnia.	1
What is the other issue affecting trade and economic sanctions against Serbia?	Weapons are still getting through to the Serbs in Bosnia despite a pledge by Milosevic to cut them off, said the U.S. official, who spoke on condition of anonymity.	1
What has prevented the peace plan from being implemented?	Peace efforts have stalled over the Bosnian Serbs' refusal to consider a five-nation peace plan that would set up ethnic zones with them controlling 49 percent and a Muslim-Croat federation 51 percent.	1
What is the cost of education in China?	Although basic education is theoretically supposed to be provided free to all children, many schools, especially the best equipped ones, have begun charging exorbitant fees, official reports say.	1
When will the circular go into effect?	The ban on elite schools is to go into effect before the spring semester begins next Monday, the official newspaper China Daily reported Wednesday.	1
What will happen to those that continue to charge exorbitant fees?	Schools that have already taken fees for the spring semester are required to return them.	1
What did the circular tell schools to do?	The circular advised schools to concentrate on improving the quality of 'normal teaching' and it banned competitions and awards geared toward gifted students.	1
What is the general objective behind the 'back to basics' approach?	The 'back to basics' approach is apparently aimed at ensuring that a maximum number of students, whatever their ability, receive a basic education.	1
What happened to children during the crackdown?	'Children were separated from their parents in their terror.'	1
What has happened recently with the army troops that rolled through this village?	Dr. Marcos Arana of Conpaz, an alliance of aid groups, said about 300 soldiers marched again through Morelia on Tuesday morning.	1
What will Willoughby do when he returns to Lang vei?	Willoughby is expected to help outline battlefield positions and trace the course of battle to find out where men might have fallen or been buried.	1
How many teams will the joint task force work on?	Eight teams will spread throughout Vietnam to interview witnesses and excavate at old battlefields, burial sites and areas where U.S. helicopters and airplanes crashed.	1
How many investigations have been carried out during this time?	The planned five-week operation will be the 34th in a series that started in September 1988, Garrett said.	1
How many U.S. servicemen were unaccounted for during the Vietnam War?	The U.S. Defense Department lists 1,621 Americans as missing in Vietnam, but only 55 of them were last seen alive and in imminent danger of being captured.	1
What happened to their numbers?	But in the 1990s, their numbers began falling.	1
How many sightings has the Florida Fish and Wildlife Conservation Commission observed?	So far, people have reported spotting crabs a total of 2,800 times, enough to get an idea about where they may be located, but not enough to tell researchers about populations, Black explained.	1
Who else contributed to the site?	From all over California, farmers, environmental lawyers, wildlife groups, cities and even the Fresno County sheriff have posted thoughts in a siege of protests to state officials about the use of this year's puny snowpack and half-empty reservoirs.	1
What did the storms do to the Delta?	The February and March storms caused river flow through the delta to spike.	1
What did farmers do to get extra flow?	Farmers held massive rallies and pressured lawmakers, pointing to huge increases of outflow both months.	1
What has the government done to control the situation?	Since Gov. Jerry Brown declared a drought emergency in January, water leaders have been working daily on adjustments in the state's water system - each of which triggers more angst.	1
What did critics of the trip say?	In online posts and comments, Palestinian critics denounced the visit as treason.	1
What is the objective of this program?	He is no stranger to controversy. The director of the American studies program at Al Quds University, Dajani heads an organization called Wasatia, whose declared aim is to promote a culture of moderation and reconciliation among Palestinians - values that often seem in short supply in the festering conflict with Israel.	1
